id,text,option_a,option_b,option_c,option_d,correct,source,topic,type
828,Which reference should you open first for grounding involving platform lifts or stairway chairlifts?,Existing elevators,Construction demolition safety,Conveyors,Platform lifts and stairway chairlifts,D,ASME A90.1,platform lifts,toc_navigation
829,A code question mentions lighting for a platform lift. Where should you start?,Platform lifts and stairway chairlifts,Conveyors,Existing elevators,Construction demolition safety,A,ASME A90.1,platform lifts,toc_navigation
830,"To navigate to rules on pit ladders, which A90.1 topic is the best first stop?",Existing elevators,Construction demolition safety,Platform lifts and stairway chairlifts,Conveyors,C,ASME A90.1,platform lifts,toc_navigation
831,Which reference should you open first for car operating panels involving platform lifts or stairway chairlifts?,Platform lifts and stairway chairlifts,Existing elevators,Conveyors,Construction demolition safety,A,ASME A90.1,platform lifts,toc_navigation
832,A code question mentions accessibility dimensions for a platform lift. Where should you start?,Existing elevators,Conveyors,Construction demolition safety,Platform lifts and stairway chairlifts,D,ASME A90.1,platform lifts,toc_navigation
833,"To navigate to rules on shunt trip, which A90.1 topic is the best first stop?",Construction demolition safety,Platform lifts and stairway chairlifts,Existing elevators,Conveyors,B,ASME A90.1,platform lifts,toc_navigation
834,Which reference should you open first for machine rooms involving platform lifts or stairway chairlifts?,Existing elevators,Conveyors,Construction demolition safety,Platform lifts and stairway chairlifts,D,ASME A90.1,platform lifts,toc_navigation
835,A code question mentions control spaces for a platform lift. Where should you start?,Existing elevators,Conveyors,Platform lifts and stairway chairlifts,Construction demolition safety,C,ASME A90.1,platform lifts,toc_navigation
836,"To navigate to rules on pits, which A90.1 topic is the best first stop?",Existing elevators,Construction demolition safety,Platform lifts and stairway chairlifts,Conveyors,C,ASME A90.1,platform lifts,toc_navigation
837,Which reference should you open first for car enclosures involving platform lifts or stairway chairlifts?,Conveyors,Platform lifts and stairway chairlifts,Existing elevators,Construction demolition safety,B,ASME A90.1,platform lifts,toc_navigation
838,A code question mentions fire service for a platform lift. Where should you start?,Existing elevators,Conveyors,Platform lifts and stairway chairlifts,Construction demolition safety,C,ASME A90.1,platform lifts,toc_navigation
839,"To navigate to rules on electrical disconnects, which A90.1 topic is the best first stop?",Construction demolition safety,Conveyors,Existing elevators,Platform lifts and stairway chairlifts,D,ASME A90.1,platform lifts,toc_navigation
840,Which reference should you open first for working clearances involving platform lifts or stairway chairlifts?,Construction demolition safety,Platform lifts and stairway chairlifts,Conveyors,Existing elevators,B,ASME A90.1,platform lifts,toc_navigation
841,A code question mentions refuge spaces for a platform lift. Where should you start?,Existing elevators,Conveyors,Construction demolition safety,Platform lifts and stairway chairlifts,D,ASME A90.1,platform lifts,toc_navigation
842,"To navigate to rules on handrails, which A90.1 topic is the best first stop?",Construction demolition safety,Conveyors,Existing elevators,Platform lifts and stairway chairlifts,D,ASME A90.1,platform lifts,toc_navigation
843,Which reference should you open first for step demarcation involving platform lifts or stairway chairlifts?,Existing elevators,Construction demolition safety,Conveyors,Platform lifts and stairway chairlifts,D,ASME A90.1,platform lifts,toc_navigation
844,A code question mentions platform lift landings for a platform lift. Where should you start?,Construction demolition safety,Conveyors,Existing elevators,Platform lifts and stairway chairlifts,D,ASME A90.1,platform lifts,toc_navigation
845,"To navigate to rules on door locking devices, which A90.1 topic is the best first stop?",Existing elevators,Conveyors,Platform lifts and stairway chairlifts,Construction demolition safety,C,ASME A90.1,platform lifts,toc_navigation
846,Which reference should you open first for safeties involving platform lifts or stairway chairlifts?,Conveyors,Existing elevators,Construction demolition safety,Platform lifts and stairway chairlifts,D,ASME A90.1,platform lifts,toc_navigation
847,A code question mentions signage for a platform lift. Where should you start?,Existing elevators,Construction demolition safety,Platform lifts and stairway chairlifts,Conveyors,C,ASME A90.1,platform lifts,toc_navigation
848,"To navigate to rules on maintenance records, which A90.1 topic is the best first stop?",Platform lifts and stairway chairlifts,Existing elevators,Construction demolition safety,Conveyors,A,ASME A90.1,platform lifts,toc_navigation
849,Which reference should you open first for tests involving platform lifts or stairway chairlifts?,Existing elevators,Conveyors,Platform lifts and stairway chairlifts,Construction demolition safety,C,ASME A90.1,platform lifts,toc_navigation
850,A code question mentions alterations for a platform lift. Where should you start?,Conveyors,Construction demolition safety,Platform lifts and stairway chairlifts,Existing elevators,C,ASME A90.1,platform lifts,toc_navigation
851,"To navigate to rules on temporary personnel hoists, which A90.1 topic is the best first stop?",Construction demolition safety,Conveyors,Existing elevators,Platform lifts and stairway chairlifts,D,ASME A90.1,platform lifts,toc_navigation
852,Which reference should you open first for construction barricades involving platform lifts or stairway chairlifts?,Construction demolition safety,Existing elevators,Platform lifts and stairway chairlifts,Conveyors,C,ASME A90.1,platform lifts,toc_navigation
853,A code question mentions wiring methods for a platform lift. Where should you start?,Conveyors,Platform lifts and stairway chairlifts,Construction demolition safety,Existing elevators,B,ASME A90.1,platform lifts,toc_navigation
854,"To navigate to rules on machine-room ventilation, which A90.1 topic is the best first stop?",Construction demolition safety,Conveyors,Existing elevators,Platform lifts and stairway chairlifts,D,ASME A90.1,platform lifts,toc_navigation
855,Which reference should you open first for access doors involving platform lifts or stairway chairlifts?,Existing elevators,Platform lifts and stairway chairlifts,Construction demolition safety,Conveyors,B,ASME A90.1,platform lifts,toc_navigation
856,A code question mentions clear floor space for a platform lift. Where should you start?,Platform lifts and stairway chairlifts,Construction demolition safety,Conveyors,Existing elevators,A,ASME A90.1,platform lifts,toc_navigation
857,"To navigate to rules on hall stations, which A90.1 topic is the best first stop?",Platform lifts and stairway chairlifts,Conveyors,Existing elevators,Construction demolition safety,A,ASME A90.1,platform lifts,toc_navigation
858,Which reference should you open first for elevator lobby protection involving platform lifts or stairway chairlifts?,Construction demolition safety,Conveyors,Platform lifts and stairway chairlifts,Existing elevators,C,ASME A90.1,platform lifts,toc_navigation
859,A code question mentions overcurrent protection for a platform lift. Where should you start?,Platform lifts and stairway chairlifts,Construction demolition safety,Conveyors,Existing elevators,A,ASME A90.1,platform lifts,toc_navigation
860,"To navigate to rules on machinery spaces, which A90.1 topic is the best first stop?",Platform lifts and stairway chairlifts,Conveyors,Construction demolition safety,Existing elevators,A,ASME A90.1,platform lifts,toc_navigation
861,Which reference should you open first for hoistways involving platform lifts or stairway chairlifts?,Platform lifts and stairway chairlifts,Existing elevators,Construction demolition safety,Conveyors,A,ASME A90.1,platform lifts,toc_navigation
862,A code question mentions buffers for a platform lift. Where should you start?,Conveyors,Existing elevators,Construction demolition safety,Platform lifts and stairway chairlifts,D,ASME A90.1,platform lifts,toc_navigation
863,"To navigate to rules on door reopening devices, which A90.1 topic is the best first stop?",Conveyors,Construction demolition safety,Platform lifts and stairway chairlifts,Existing elevators,C,ASME A90.1,platform lifts,toc_navigation
864,Which reference should you open first for standby power involving platform lifts or stairway chairlifts?,Construction demolition safety,Platform lifts and stairway chairlifts,Existing elevators,Conveyors,B,ASME A90.1,platform lifts,toc_navigation
865,A code question mentions controller access for a platform lift. Where should you start?,Existing elevators,Construction demolition safety,Platform lifts and stairway chairlifts,Conveyors,C,ASME A90.1,platform lifts,toc_navigation
866,"To navigate to rules on top-of-car clearances, which A90.1 topic is the best first stop?",Existing elevators,Construction demolition safety,Conveyors,Platform lifts and stairway chairlifts,D,ASME A90.1,platform lifts,toc_navigation
867,Which reference should you open first for escalator skirt panels involving platform lifts or stairway chairlifts?,Platform lifts and stairway chairlifts,Existing elevators,Construction demolition safety,Conveyors,A,ASME A90.1,platform lifts,toc_navigation
868,A code question mentions combplates for a platform lift. Where should you start?,Conveyors,Platform lifts and stairway chairlifts,Construction demolition safety,Existing elevators,B,ASME A90.1,platform lifts,toc_navigation
869,"To navigate to rules on moving walks, which A90.1 topic is the best first stop?",Existing elevators,Platform lifts and stairway chairlifts,Construction demolition safety,Conveyors,B,ASME A90.1,platform lifts,toc_navigation
870,Which reference should you open first for wheelchair turning space involving platform lifts or stairway chairlifts?,Conveyors,Platform lifts and stairway chairlifts,Existing elevators,Construction demolition safety,B,ASME A90.1,platform lifts,toc_navigation
871,"If the exam asks about pits on conveying equipment, which reference do you open first?",ASME A17.2,ASME B20.1,ASME A17.5,NYC Chapter 33,B,ASME B20.1,conveyors,toc_navigation
872,"For a question involving car enclosures and conveyors, what is the best starting code source?",ASME A17.5,ASME A17.2,ASME B20.1,NYC Chapter 33,C,ASME B20.1,conveyors,toc_navigation
873,Where would you begin to locate conveyor rules for fire service?,ASME A17.5,NYC Chapter 33,ASME A17.2,ASME B20.1,D,ASME B20.1,conveyors,toc_navigation
874,"If the exam asks about electrical disconnects on conveying equipment, which reference do you open first?",ASME B20.1,NYC Chapter 33,ASME A17.5,ASME A17.2,A,ASME B20.1,conveyors,toc_navigation
875,"For a question involving working clearances and conveyors, what is the best starting code source?",ASME A17.2,ASME B20.1,NYC Chapter 33,ASME A17.5,B,ASME B20.1,conveyors,toc_navigation
876,Where would you begin to locate conveyor rules for refuge spaces?,ASME A17.2,NYC Chapter 33,ASME B20.1,ASME A17.5,C,ASME B20.1,conveyors,toc_navigation
